"Ilgavaisis agurkas, 220 g";"Darþovës ir vaisiai";Darþovës;"Agurkai ir pomidorai";220;g;0,89;4,05;0
"Knyga. POLICIJOS DIEVAI, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;0;0;0
"Knyga.R.Sepetys.DRUSKA JÛRAI, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;10,45;10,45;0
"Knyga.W.Dirie,C.Miller"Dykumø gëlë", 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;0;0;0
"Knyga.D.Owens.TEN KUR GIEDA VËÞIAI, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;16,49;16,49;0
"Knyga.Laurent Gounelle DIEVAS VISADA KELIAUJA INCOGNITO, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;12,13;12,13;0
"Knyga.M.Marotta.ÁKVËPIMO SPALVOS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;0;0;0
"Knyga.K.Sabaliauskaitë.PETRO IMPERATORË, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;15,99;15,99;0
"Knyga.K.Sabaliauskaitë.PETRO IMPERATORË II, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;16,69;16,69;0
"Knyga.S.Burdick.BEVARDËS MERGAITËS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;16,89;16,89;0
"Knyga. J. Templeton. GYVENIMO DËSNIAI, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;12,99;12,99;0
"Knyga.G.Chapman.PENKIOS MEILËS KALBOS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;8,54;8,54;9,49
"Knyga. M. Obama. MANO ISTORIJA, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;19,79;19,79;21,99
"Knyga.A.Unikauskas.KLAUSKITE DAKTARO, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;15,99;15,99;0
"Knyga.D.Ulbinaitë.NUSTOKIM KRÛPÈIOT.PREZIDENTË DALIA GRYBAUS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;19,99;19,99;0
"Knyga ANT MEDINËS LENTELËS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;16,01;16,01;17,79
"Knyga.M.Manson.SUBTILUS MENAS NEKRUÐTI SAU (IR KITIEMS) PROT, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;8,49;8,49;0
"Knyga. H.Morris AUÐVICO TATUIRUOTOJAS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;13,39;13,39;0
"Knyga.H.Morris.CILKOS KELIAS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;14,99;14,99;0
"Knyga.G.K.Sviderskytë.LITUANICA. NEMATOMA PUSË, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;29,6;29,6;0
"Knyga.M. Manson. VISKAS YRA SUKRUÐTA: KNYGA APIE VILTÁ, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;10,79;10,79;11,99
"Knyga.A.Valinskas,A.Tapinas.AUKSINIS PROTAS. 4000 KLAUSIMØ, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;16,29;16,29;0
"Knyga.B.Obama.PAÞADËTOJI ÞEMË, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;25,79;25,79;0
